               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071233,             0.02402,            0.014386,             0.70557,             0.76895,             0.72731,             0.37307,            0.044146,            0.014952,           0.0043388,            0.070078,           0.0033247,           0.0033247
                   1,            0.050682,            0.014764,           0.0052736,             0.92317,             0.89059,             0.92261,             0.48113,            0.034651,            0.012423,            0.003193,            0.040012,           0.0065921,           0.0065921
                   2,            0.044573,            0.012846,           0.0040582,             0.91164,             0.90621,             0.92644,             0.56675,            0.032732,            0.011404,           0.0027967,           0.0098797,           0.0097936,           0.0097936
                   3,            0.038949,            0.011831,           0.0035732,             0.94763,             0.92186,             0.94966,             0.63789,            0.027046,            0.010953,           0.0023652,            0.009703,            0.009703,            0.009703
                   4,            0.034963,            0.011294,           0.0033004,             0.95238,             0.91325,             0.95153,             0.63186,            0.026623,            0.010349,           0.0023296,            0.009703,            0.009703,            0.009703
                   5,            0.032027,            0.010986,           0.0029771,             0.95672,             0.93094,             0.95671,             0.64419,            0.024025,            0.010119,           0.0021584,            0.009604,            0.009604,            0.009604
                   6,            0.030005,            0.010597,           0.0026257,             0.95191,             0.92938,             0.95332,             0.67465,            0.023357,           0.0099288,           0.0019378,            0.009505,            0.009505,            0.009505
                   7,            0.028414,            0.010424,           0.0026656,             0.95472,             0.93962,             0.95699,             0.68751,            0.022736,           0.0099139,           0.0019258,            0.009406,            0.009406,            0.009406
                   8,            0.027736,            0.010213,           0.0024414,             0.95182,             0.92766,             0.95687,             0.69364,            0.022723,           0.0095884,           0.0018535,            0.009307,            0.009307,            0.009307
                   9,            0.026696,           0.0098927,           0.0025713,             0.95674,             0.93749,             0.96059,             0.69546,            0.022349,            0.009637,           0.0017572,            0.009208,            0.009208,            0.009208
                  10,            0.026191,           0.0098166,           0.0024958,             0.95809,             0.94257,             0.95853,             0.70153,            0.022232,           0.0094947,            0.001696,            0.009109,            0.009109,            0.009109
                  11,            0.025717,           0.0098395,            0.002369,             0.95817,             0.93613,             0.96111,             0.69701,            0.022036,            0.009566,           0.0017233,             0.00901,             0.00901,             0.00901
                  12,            0.025323,           0.0097551,           0.0022214,             0.94844,             0.94285,              0.9612,             0.69059,            0.021896,           0.0095451,           0.0017155,            0.008911,            0.008911,            0.008911
                  13,            0.024533,           0.0094428,           0.0021567,             0.95495,             0.93631,             0.95933,             0.70637,            0.021499,            0.009356,           0.0016013,            0.008812,            0.008812,            0.008812
                  14,            0.024621,           0.0094642,           0.0022255,             0.95403,             0.93963,             0.96092,              0.7004,            0.021591,           0.0093372,           0.0016416,            0.008713,            0.008713,            0.008713
                  15,            0.024036,           0.0091712,           0.0024604,             0.95971,             0.93444,             0.96524,             0.72029,            0.020625,            0.009169,           0.0015903,            0.008614,            0.008614,            0.008614
                  16,            0.023805,           0.0094417,            0.002403,             0.95231,             0.93649,             0.96274,             0.71402,            0.020467,           0.0090018,           0.0016454,            0.008515,            0.008515,            0.008515
                  17,            0.023463,           0.0092011,           0.0022776,             0.95645,             0.93768,             0.96268,             0.72082,            0.020708,           0.0091233,           0.0017862,            0.008416,            0.008416,            0.008416
                  18,            0.023507,           0.0093032,            0.002101,             0.94425,             0.94739,             0.96474,             0.71612,            0.020519,           0.0091381,           0.0016233,            0.008317,            0.008317,            0.008317
                  19,            0.023133,           0.0090145,           0.0022374,             0.96048,             0.93799,             0.96627,             0.71992,            0.020714,           0.0089837,           0.0015183,            0.008218,            0.008218,            0.008218
                  20,            0.022838,           0.0090216,           0.0021654,             0.95058,             0.94784,             0.96753,             0.72748,            0.020447,           0.0089474,           0.0015422,            0.008119,            0.008119,            0.008119
                  21,            0.022817,           0.0090491,           0.0020164,             0.94692,             0.94498,             0.96506,             0.72304,            0.020206,           0.0089281,           0.0015301,             0.00802,             0.00802,             0.00802
                  22,            0.022654,           0.0090194,           0.0020519,             0.96129,             0.93632,             0.96314,             0.72203,            0.020311,           0.0090226,           0.0016298,            0.007921,            0.007921,            0.007921
                  23,            0.022251,           0.0089582,           0.0020678,             0.96261,             0.94266,             0.96733,             0.73156,            0.019934,           0.0089255,           0.0014146,            0.007822,            0.007822,            0.007822
                  24,            0.022575,           0.0089887,           0.0019746,             0.96082,                0.94,             0.96635,             0.72412,             0.02049,           0.0088152,           0.0014982,            0.007723,            0.007723,            0.007723
                  25,            0.022308,           0.0088885,           0.0020428,              0.9632,              0.9366,             0.96695,             0.73276,            0.019833,           0.0088976,           0.0014212,            0.007624,            0.007624,            0.007624
                  26,            0.022143,           0.0088913,           0.0020223,             0.95924,             0.93295,             0.96681,             0.73019,            0.019993,           0.0088917,           0.0013964,            0.007525,            0.007525,            0.007525
                  27,            0.021744,           0.0089011,           0.0019153,             0.96222,             0.93985,             0.96884,             0.73383,            0.019758,            0.008798,           0.0013638,            0.007426,            0.007426,            0.007426
                  28,            0.021819,           0.0088935,           0.0019863,             0.96317,             0.94359,             0.96924,             0.73163,            0.019865,           0.0089009,           0.0014833,            0.007327,            0.007327,            0.007327
                  29,            0.021787,           0.0088417,           0.0020274,             0.96701,             0.93769,             0.97038,             0.73472,            0.019734,           0.0088226,           0.0013474,            0.007228,            0.007228,            0.007228
                  30,            0.021453,           0.0087865,           0.0019821,             0.95528,             0.94511,             0.96927,             0.73475,             0.01989,           0.0087728,           0.0014663,            0.007129,            0.007129,            0.007129
                  31,            0.021382,            0.008743,           0.0019612,             0.96309,             0.94794,             0.97053,             0.74007,            0.019678,           0.0086547,            0.001361,             0.00703,             0.00703,             0.00703
                  32,            0.021564,           0.0087312,           0.0022139,             0.96485,             0.94274,             0.97052,             0.73114,            0.019711,           0.0087595,           0.0014402,            0.006931,            0.006931,            0.006931
                  33,            0.021139,           0.0088151,           0.0018247,             0.96173,             0.94282,             0.97011,             0.74606,            0.019374,           0.0086842,           0.0013184,            0.006832,            0.006832,            0.006832
                  34,            0.021198,           0.0085147,           0.0018711,             0.96686,             0.94078,             0.97047,              0.7383,             0.01949,           0.0087255,           0.0014364,            0.006733,            0.006733,            0.006733
                  35,            0.021221,           0.0086546,           0.0018939,             0.96971,             0.94024,             0.97047,             0.74291,            0.019333,           0.0086133,           0.0013279,            0.006634,            0.006634,            0.006634
                  36,            0.021254,           0.0086417,             0.00182,             0.96657,             0.93821,             0.96713,             0.73641,            0.019421,           0.0086067,           0.0013979,            0.006535,            0.006535,            0.006535
                  37,            0.020855,           0.0086569,           0.0017544,             0.96088,             0.94511,             0.96925,             0.74312,            0.019453,           0.0086489,           0.0013946,            0.006436,            0.006436,            0.006436
                  38,            0.020805,           0.0085603,           0.0019072,             0.95975,             0.94404,             0.96977,             0.74363,            0.019211,            0.008574,           0.0013779,            0.006337,            0.006337,            0.006337
